DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR10,2013,436140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR21,2013,604520,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR22,2013,474620,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR23,2013,229970,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR24,2013,1503250,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR25,2013,167160,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR26,2013,675460,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR30,2013,101010,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR41,2013,368010,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR42,2013,141280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR43,2013,88270,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR51,2013,252310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR52,2013,126730,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR53,2013,790140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR61,2013,353280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR62,2013,741360,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR63,2013,19800,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR71,2013,223380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR72,2013,145850,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR81,2013,76470,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR82,2013,58120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR83,2013,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR93,2013,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,FR94,2013,50,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR10,2013,102250,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR21,2013,405380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR22,2013,494360,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR23,2013,164020,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR24,2013,170250,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR25,2013,72450,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR26,2013,12810,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR30,2013,322170,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR41,2013,6210,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR42,2013,26470,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR43,2013,14640,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR51,2013,49110,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR52,2013,71240,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR53,2013,21850,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR61,2013,169200,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR62,2013,322950,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR63,2013,9060,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR71,2013,131050,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR72,2013,44330,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR81,2013,96170,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR82,2013,225610,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR83,2013,6850,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR91,2013,16890,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR92,2013,5080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR93,2013,3380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,FR94,2013,21870,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR10,2013,290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR21,2013,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR22,2013,860,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR23,2013,140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR24,2013,8620,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR25,2013,190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR26,2013,180,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR30,2013,740,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR41,2013,110,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR42,2013,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR43,2013,110,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR51,2013,1600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR52,2013,4110,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR53,2013,1200,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR61,2013,9680,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR62,2013,1040,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR63,2013,490,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR71,2013,2140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR72,2013,140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR81,2013,1570,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR82,2013,4980,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR83,2013,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR91,2013,330,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR92,2013,40,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR93,2013,10,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,FR94,2013,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR10,2013,3600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR21,2013,90,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR22,2013,260,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR23,2013,370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR24,2013,4300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR25,2013,1590,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR26,2013,670,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR30,2013,2840,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR41,2013,580,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR42,2013,1880,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR43,2013,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR51,2013,8670,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR52,2013,2830,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR53,2013,2370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR61,2013,11420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR62,2013,4310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR63,2013,150,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR71,2013,3970,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR72,2013,370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR81,2013,2910,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR82,2013,6780,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR83,2013,720,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR91,2013,1160,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR92,2013,3720,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR93,2013,140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,FR94,2013,2120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR10,2013,1330,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR21,2013,290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR22,2013,420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR23,2013,910,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR24,2013,2420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR25,2013,830,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR26,2013,1160,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR30,2013,2930,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR41,2013,240,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR42,2013,930,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR43,2013,390,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR51,2013,6670,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR52,2013,3300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR53,2013,3080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR61,2013,2580,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR62,2013,1620,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR63,2013,370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR71,2013,6310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR72,2013,550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR81,2013,1620,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR82,2013,4470,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR83,2013,50,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR91,2013,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR92,2013,170,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR93,2013,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,FR94,2013,250,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR10,2013,40,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR21,2013,52900,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR22,2013,3490,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR24,2013,34320,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR26,2013,52980,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR30,2013,10,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR41,2013,280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR42,2013,24420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR43,2013,3160,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR51,2013,48600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR53,2013,177300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR61,2013,191990,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR62,2013,53970,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR63,2013,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR71,2013,64090,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR72,2013,2340,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR81,2013,285100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR82,2013,112840,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,FR83,2013,8230,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR10,2013,550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR21,2013,330,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR22,2013,1960,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR23,2013,840,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR24,2013,4810,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR25,2013,3290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR26,2013,850,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR30,2013,370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR41,2013,1600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR42,2013,570,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR43,2013,140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR51,2013,12530,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR52,2013,3140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR53,2013,2070,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR61,2013,39590,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR62,2013,26750,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT36_SO,AGRAREA_HA,FR63,2013,8080,
