DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR10,2013,3140,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR21,2013,4640,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR22,2013,4550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR23,2013,2180,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR24,2013,12150,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR25,2013,1880,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR26,2013,4700,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR30,2013,2280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR41,2013,2600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR42,2013,3300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR43,2013,870,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR51,2013,3550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR52,2013,3570,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR53,2013,8550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR61,2013,8780,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR62,2013,12440,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR63,2013,480,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR71,2013,4370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR72,2013,2070,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR81,2013,1130,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR82,2013,960,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR83,2013,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,FR93,2013,0,
