DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE1,2010,170720,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE2,2010,319500,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE3,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE4,2010,273290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE5,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE6,2010,590,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE7,2010,141560,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE8,2010,489720,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DE9,2010,259310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DEA,2010,131020,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DEB,2010,105660,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DEC,2010,9060,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DED,2010,201480,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DEE,2010,472190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DEF,2010,179100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,DEG,2010,250690,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL11,2010,96960,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL12,2010,180980,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL13,2010,79930,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL14,2010,62060,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL21,2010,1920,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL22,2010,120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL23,2010,7840,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL24,2010,23580,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL25,2010,2580,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL30,2010,1600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL41,2010,4460,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL42,2010,900,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,EL43,2010,80,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,DE1,2010,139740,
