DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL11,2010,12120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL12,2010,24540,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL13,2010,7910,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL14,2010,11010,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL21,2010,510,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL22,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL23,2010,1750,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL24,2010,3190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL25,2010,370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL30,2010,200,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL41,2010,380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL42,2010,100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,EL43,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL11,2010,17970,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL12,2010,19120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL13,2010,3400,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL14,2010,16200,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL21,2010,2380,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL22,2010,190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL23,2010,4200,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL24,2010,6550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL25,2010,1020,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL30,2010,320,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL41,2010,190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL42,2010,690,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,EL43,2010,670,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL11,2010,110,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL12,2010,760,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL13,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL14,2010,210,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL21,2010,280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL22,2010,30,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,EL23,2010,420,
