DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITC1,2010,11760,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITC2,2010,10,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITC3,2010,30,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITC4,2010,13190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITF1,2010,3860,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITF2,2010,6060,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITF3,2010,6720,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITF4,2010,22500,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITF5,2010,11940,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITF6,2010,4810,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITG1,2010,20130,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITG2,2010,1790,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITH1,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITH2,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITH3,2010,51640,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITH4,2010,10980,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITH5,2010,11590,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITI1,2010,5450,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITI2,2010,6510,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITI3,2010,14710,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ITI4,2010,4240,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITC1,2010,8750,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITC2,2010,830,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITC3,2010,1780,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITC4,2010,9120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITF1,2010,7520,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITF2,2010,3350,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITF3,2010,19960,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITF4,2010,12210,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITF5,2010,6900,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITF6,2010,7690,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITG1,2010,20220,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITG2,2010,7020,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITH1,2010,1710,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITH2,2010,1250,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITH3,2010,12430,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITH4,2010,2420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITH5,2010,21320,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITI1,2010,7190,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITI2,2010,4040,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITI3,2010,7150,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ITI4,2010,12920,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,ITC1,2010,560,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,ITC2,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,HOLD_HOLD,ITC3,2010,1690,
