DATAFLOW,LAST UPDATE,freq,unit,crops,agprdmet,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,DE,2012,432733,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,DE,2014,447742,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,DE,2016,479025,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,DE,2018,531168,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,DE,2020,733215,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,EL,2012,113461,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,EL,2014,100173,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,EL,2016,102166,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,EL,2018,156918,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,EL,2020,172440,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,ES,2012,385029,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,ES,2014,352522,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,ES,2016,476480,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,ES,2018,487363,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,ES,2020,502076,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,FR,2012,561153,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,FR,2014,612488,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,FR,2016,830536,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,FR,2018,1165235,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,FR,2020,1444503,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,IT,2012,569998,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,IT,2014,646816,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,IT,2016,841176,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,IT,2018,946583,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA,TOTAL,IT,2020,1015517,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,DE,2012,3100,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,DE,2014,3800,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,DE,2016,3025,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,DE,2018,3208,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,DE,2020,6249,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,EL,2012,417,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,EL,2014,3503,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,EL,2016,980,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,EL,2018,2111,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,EL,2020,3036,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,ES,2012,991,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,ES,2014,1096,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,ES,2016,1467,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,ES,2018,1428,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,ES,2020,1570,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,FR,2012,10179,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,FR,2014,30035,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,FR,2016,27491,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,FR,2018,54625,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,FR,2020,25223,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,IT,2012,5031,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,IT,2014,40033,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,IT,2016,18106,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,IT,2018,21330,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,ARA9,TOTAL,IT,2020,29473,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,DE,2012,218300,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,DE,2014,218700,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,DE,2016,243047,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,DE,2018,260293,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,DE,2020,353555,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,EL,2012,51544,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,EL,2014,45101,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,EL,2016,50131,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,EL,2018,47328,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,EL,2020,38107,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,ES,2012,174005,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,ES,2014,154760,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,ES,2016,216481,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,ES,2018,204782,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,ES,2020,216624,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,FR,2012,133195,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,FR,2014,140506,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,FR,2016,217375,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,FR,2018,310828,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,FR,2020,371710,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,IT,2012,210543,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,IT,2014,203685,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,IT,2016,299639,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,IT,2018,326083,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C0000,TOTAL,IT,2020,333563,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,DE,2014,218700,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,DE,2016,243047,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,DE,2018,260293,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,DE,2020,353555,e
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,EL,2012,51254,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,EL,2014,44693,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,EL,2016,49140,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,EL,2018,45582,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,EL,2020,36420,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,ES,2012,173573,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,ES,2014,153609,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,ES,2016,214886,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,ES,2018,203423,
ESTAT:ORG_CROPAR(1.0),14/12/23 11:00:00,A,HA,C1000,TOTAL,ES,2020,215147,
