DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES11,2010,8800,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES12,2010,120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES13,2010,550,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES21,2010,24540,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES22,2010,197080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES23,2010,24100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES24,2010,835040,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES30,2010,115540,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES41,2010,2199470,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES42,2010,1692340,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES43,2010,251480,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES51,2010,219340,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES52,2010,29390,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES53,2010,15730,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES61,2010,730600,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES62,2010,34080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,AGRAREA_HA,ES70,2010,100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES11,2010,76630,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES12,2010,133470,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES13,2010,88890,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES21,2010,25650,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES22,2010,148450,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES23,2010,74270,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES24,2010,550680,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES30,2010,50400,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES41,2010,1157460,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES42,2010,324510,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES43,2010,194670,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES51,2010,184520,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES52,2010,42420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES53,2010,12850,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES61,2010,416420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES62,2010,15830,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,AGRAREA_HA,ES70,2010,10300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES11,2010,1120,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES12,2010,260,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES13,2010,80,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES21,2010,740,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES22,2010,1180,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES23,2010,100,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES24,2010,480,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES30,2010,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES41,2010,1360,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES42,2010,330,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES43,2010,220,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES51,2010,620,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES52,2010,2460,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES53,2010,200,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES61,2010,41310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES62,2010,4860,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT21_SO,AGRAREA_HA,ES70,2010,3710,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES11,2010,3420,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES12,2010,300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES13,2010,160,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES21,2010,1990,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES22,2010,6660,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES23,2010,2770,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES24,2010,3500,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES30,2010,740,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES41,2010,13300,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES42,2010,40840,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES43,2010,7530,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES51,2010,5080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES52,2010,15750,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES53,2010,1730,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES61,2010,30500,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES62,2010,38730,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT22_SO,AGRAREA_HA,ES70,2010,1430,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES11,2010,1280,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES12,2010,170,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES13,2010,70,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES21,2010,1710,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES22,2010,1710,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES23,2010,1060,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES24,2010,1170,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES30,2010,370,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES41,2010,880,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES42,2010,3640,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES43,2010,2270,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES51,2010,5080,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES52,2010,5340,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES53,2010,240,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES61,2010,5460,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES62,2010,2030,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT23_SO,AGRAREA_HA,ES70,2010,210,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES11,2010,8890,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES12,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES13,2010,0,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES21,2010,15930,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES22,2010,12660,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES23,2010,50410,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES24,2010,29620,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES30,2010,4720,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES41,2010,51480,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT35_SO,AGRAREA_HA,ES42,2010,412060,
