DATAFLOW,LAST UPDATE,freq,farmtype,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES11,2010,1260,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES12,2010,20,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES13,2010,30,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES21,2010,670,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES22,2010,5160,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES23,2010,790,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES24,2010,14820,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES30,2010,1480,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES41,2010,41310,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES42,2010,25470,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES43,2010,6590,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES51,2010,10580,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES52,2010,2180,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES53,2010,1030,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES61,2010,16610,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES62,2010,760,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT15_SO,HOLD_HOLD,ES70,2010,40,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES11,2010,12750,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES12,2010,4360,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES13,2010,1780,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES21,2010,1070,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES22,2010,2290,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES23,2010,660,
ESTAT:EF_KVFTREG(1.0),16/01/17 23:00:00,A,FT16_SO,HOLD_HOLD,ES24,2010,6210,
